stock_id,price,vol_rating
1,31.67,0.38
2,25.06,0.97
3,112.71,0.77
4,86.89,0.74
5,59.82,0.45
6,115.24,0.47
7,130.39,0.93
8,93.52,0.84
9,116.05,0.72
10,153.85,0.44
11,58.78,0.43
12,182.70,0.79
13,132.60,0.90
14,163.23,0.65
15,124.77,0.56
16,115.03,0.42
17,180.80,0.20
18,52.38,0.84
19,109.80,0.36
20,112.33,0.99
21,140.66,0.23
22,129.81,0.71
23,70.10,0.52
24,118.43,0.82
25,87.67,0.95
26,66.32,0.47
27,161.34,0.91
28,194.00,0.47
29,134.89,0.12
30,132.18,0.33
31,194.16,0.11
32,96.35,0.79
33,191.44,0.98
34,13.24,0.19
35,10.17,0.65
36,98.79,0.12
37,91.61,0.59
38,49.30,0.12
39,15.49,0.80
40,199.48,0.86
41,32.98,0.94
42,151.96,0.26
43,32.19,1.00
44,86.71,0.59
45,58.07,0.81
46,41.47,0.90
47,128.63,0.22
48,93.17,0.29
49,116.65,0.14
50,159.48,0.62
51,170.25,0.40
52,48.74,0.98
53,32.68,0.26
54,144.60,0.76
55,106.63,0.65
56,127.99,0.27
57,61.59,0.67
58,90.28,0.16
59,31.83,0.57
60,64.67,0.41
61,93.86,0.81
62,72.47,0.11
63,164.03,0.60
64,150.94,0.79
65,132.16,0.31
66,54.40,0.85
67,9.31,0.52
68,74.01,0.52
69,28.10,0.93
70,146.66,0.12
71,29.46,0.93
72,8.80,0.68
73,178.06,0.54
74,173.83,0.65
75,189.87,0.12
76,127.10,0.13
77,179.50,0.15
78,85.50,0.45
79,80.56,0.37
80,191.32,0.80
81,157.42,0.68
82,10.57,0.54
83,68.31,0.82
84,187.33,0.64
85,84.61,0.48
86,91.54,0.25
87,78.52,0.58
88,58.67,0.72
89,24.52,0.99
90,135.25,0.12
91,1.12,0.30
92,28.18,0.53
93,170.00,0.24
94,195.91,0.22
95,33.72,0.80
96,117.08,0.55
97,18.97,0.41
98,47.48,0.37
99,4.18,0.77
100,48.94,0.38
101,12.08,0.96
102,161.76,0.85
103,165.28,0.78
104,49.93,0.16
105,167.71,0.26
106,55.20,0.70
107,66.67,0.90
108,70.10,0.84
109,43.10,0.39
110,89.40,0.68
111,62.61,0.37
112,50.88,0.67
113,48.92,0.17
114,196.38,1.00
115,40.01,0.89
116,52.03,0.84
117,198.30,0.64
118,166.86,0.81
119,11.44,0.12
120,189.20,0.24
121,104.79,0.86
122,104.09,0.84
123,101.19,0.83
124,125.66,0.98
125,193.74,0.63
126,176.30,0.34
127,146.41,0.96
128,77.11,0.77
129,137.39,0.92
130,103.77,0.60
131,164.00,0.34
132,26.24,0.39
133,65.03,0.88
134,139.34,0.65
135,37.85,0.34
136,26.38,0.86
137,139.78,0.64
138,83.15,0.59
139,77.88,0.76
140,60.81,0.68
141,29.06,0.21
142,167.29,0.87
143,55.19,0.14
144,26.35,0.50
145,26.25,0.27
146,105.00,0.70
147,103.91,0.96
148,57.53,0.36
149,27.78,0.87
150,180.00,0.78
151,164.98,0.74
152,28.94,0.78
153,10.44,0.79
154,40.47,0.17
155,58.76,0.46
156,45.64,0.73
157,169.41,0.55
158,96.60,0.97
159,106.55,0.69
160,110.46,0.34
161,9.50,0.82
162,51.74,0.85
163,184.14,0.59
164,172.61,0.86
165,185.58,0.87
166,155.88,0.20
167,91.17,0.59
168,106.56,0.70
169,63.24,0.44
170,4.91,0.53
171,112.47,0.15
172,142.04,0.81
173,11.39,0.45
174,52.44,0.80
175,95.25,0.21
176,19.17,0.21
177,60.69,0.88
178,106.38,0.49
179,115.88,0.91
180,195.49,0.31
181,171.62,0.70
182,45.02,0.46
183,107.16,0.31
184,130.40,0.17
185,150.09,0.51
186,90.38,0.34
187,104.21,0.17
188,4.07,0.75
189,86.29,0.82
190,146.25,0.55
191,62.37,0.13
192,28.67,1.00
193,53.27,0.78
194,56.36,0.83
195,66.22,0.57
196,57.96,0.25
197,100.15,0.66
198,15.07,0.73
199,17.31,0.78
200,184.42,0.88
201,84.77,0.49
202,6.66,0.84
203,151.35,0.44
204,143.55,0.20
205,144.34,0.56
206,191.61,0.95
207,70.25,0.50
208,59.15,0.95
209,166.43,0.56
210,187.70,0.62
211,100.12,0.93
212,150.30,0.50
213,142.52,0.38
214,93.79,0.86
215,15.99,0.94
216,32.69,0.24
217,1.72,0.78
218,151.39,0.29
219,48.81,0.99
220,63.52,0.81
221,86.98,0.86
222,143.63,0.36
223,94.37,0.67
224,51.38,0.96
225,123.62,0.89
226,183.23,0.41
227,82.37,0.76
228,67.13,0.20
229,189.28,0.30
230,113.56,0.63
231,147.68,0.65
232,89.61,0.14
233,102.25,0.78
234,87.98,0.66
235,122.25,0.54
236,191.97,0.86
237,100.01,0.46
238,74.40,0.29
239,81.11,0.72
240,168.05,0.26
241,3.08,0.51
242,16.20,0.23
243,138.15,0.89
244,127.71,0.47
245,187.67,0.50
246,38.36,0.62
247,142.03,0.95
248,60.55,0.68
249,108.47,0.45
250,103.44,0.44
251,4.26,0.51
252,186.79,0.81
253,43.23,0.55
254,19.75,0.29
255,77.61,0.65
256,104.12,0.78
257,181.41,0.11
258,64.85,0.97
259,30.00,0.63
260,34.13,0.98
261,28.57,0.70
262,192.11,0.37
263,155.17,0.11
264,118.58,0.71
265,106.91,0.44
266,68.04,0.88
267,164.00,0.84
268,33.90,0.77
269,15.35,0.12
270,110.14,0.22
271,125.00,0.78
272,158.55,0.51
273,163.47,0.61
274,162.65,0.81
275,94.60,0.62
276,135.97,0.70
277,190.91,0.33
278,142.18,0.42
279,156.29,0.71
280,150.73,0.88
281,35.81,0.23
282,18.29,0.58
283,161.56,0.19
284,3.42,0.82
285,72.02,0.45
286,16.85,0.34
287,72.12,0.42
288,190.77,0.99
289,43.34,0.15
290,79.32,0.92
291,14.48,0.68
292,88.98,0.73
293,116.24,0.50
294,169.69,0.63
295,177.99,0.71
296,158.61,0.98
297,29.02,0.80
298,125.24,0.43
299,34.84,0.37
300,158.79,0.87
301,199.27,0.15
302,66.94,0.13
303,36.82,0.92
304,131.86,0.71
305,117.56,0.88
306,119.59,0.38
307,12.78,0.84
308,182.77,0.13
309,191.51,0.17
310,94.56,0.22
311,45.84,0.66
312,53.81,0.95
313,99.19,0.66
314,40.79,0.54
315,166.95,0.72
316,82.22,0.85
317,114.47,0.22
318,20.36,0.41
319,37.46,0.86
320,66.06,0.82
321,46.61,0.18
322,183.14,0.75
323,159.96,0.37
324,131.78,0.40
325,32.37,0.70
326,155.29,0.44
327,4.83,0.60
328,111.00,0.18
329,32.04,0.78
330,52.58,0.90
331,85.38,0.75
332,142.25,0.18
333,6.25,0.11
334,1.20,0.33
335,151.62,0.61
336,150.82,0.71
337,167.91,0.29
338,96.47,0.27
339,114.65,0.91
340,3.12,0.10
341,104.41,0.66
342,15.55,0.13
343,76.82,0.89
344,38.95,0.88
345,72.89,0.16
346,127.22,0.32
347,91.28,0.86
348,186.97,0.83
349,195.56,0.35
350,116.45,0.88
351,65.12,0.42
352,194.84,0.37
353,8.30,0.81
354,38.14,0.48
355,91.12,0.54
356,140.19,0.83
357,28.96,0.43
358,129.75,0.13
359,102.20,0.28
360,45.71,0.61
361,196.06,0.48
362,86.53,0.31
363,159.71,0.81
364,97.49,0.37
365,94.16,0.28
366,87.10,0.29
367,47.91,0.87
368,14.93,0.83
369,189.82,0.57
370,89.94,0.38
371,193.32,0.48
372,120.03,0.71
373,54.60,0.93
374,72.65,0.73
375,3.70,0.63
376,137.62,0.53
377,5.06,0.29
378,10.28,0.22
379,90.77,0.36
380,107.19,0.95
381,95.28,0.97
382,196.55,0.75
383,10.49,0.26
384,108.49,0.94
385,105.12,0.34
386,110.67,0.87
387,84.96,0.72
388,141.19,0.43
389,124.05,0.45
390,70.56,0.20
391,105.47,0.29
392,156.44,0.24
393,54.03,0.65
394,167.75,0.22
395,103.96,0.65
396,104.40,0.19
397,0.46,0.77
398,116.84,0.68
399,143.95,0.10
400,88.25,0.85
401,187.81,0.36
402,21.83,0.37
403,125.92,0.91
404,61.25,0.23
405,7.95,0.14
406,161.53,0.48
407,125.46,0.41
408,145.26,0.80
409,16.64,0.84
410,138.62,0.51
411,188.01,0.35
412,46.90,0.70
413,178.31,0.56
414,82.10,0.66
415,156.08,0.23
416,147.34,0.77
417,76.40,0.42
418,17.53,0.56
419,68.31,0.34
420,51.15,0.13
421,54.54,0.47
422,88.52,0.64
423,18.27,0.70
424,93.30,0.97
425,159.15,0.46
426,64.63,0.56
427,32.97,0.37
428,146.60,0.54
429,38.67,0.57
430,57.04,0.65
431,52.57,0.74
432,26.27,0.30
433,155.48,0.69
434,191.34,0.31
435,25.90,0.76
436,181.14,0.25
437,156.85,0.71
438,3.15,0.62
439,118.34,0.20
440,76.11,0.37
441,170.99,0.92
442,99.83,0.53
443,51.87,0.42
444,14.51,0.46
445,170.37,0.28
446,166.07,0.50
447,188.62,0.85
448,12.75,0.41
449,102.49,0.28
450,7.27,0.68
451,30.82,0.47
452,39.97,0.65
453,182.30,0.46
454,96.29,0.57
455,23.81,1.00
456,107.33,0.26
457,119.15,0.39
458,127.45,0.37
459,51.66,0.89
460,138.09,0.70
461,53.39,0.90
462,92.66,0.92
463,189.54,0.76
464,1.09,0.52
465,24.30,0.23
466,66.72,0.75
467,3.82,0.12
468,102.74,0.82
469,53.93,0.22
470,167.26,0.88
471,147.93,0.63
472,58.92,0.19
473,50.74,0.79
474,23.41,0.47
475,50.13,0.66
476,91.80,0.41
477,49.68,0.86
478,29.90,0.27
479,178.49,0.58
480,31.82,0.85
481,111.05,0.55
482,140.46,0.44
483,30.39,0.94
484,164.75,0.81
485,26.05,0.34
486,66.25,0.90
487,76.21,0.77
488,189.80,0.64
489,28.52,0.27
490,155.18,0.68
491,170.61,0.13
492,58.35,0.82
493,60.65,0.45
494,176.12,0.27
495,29.46,0.12
496,104.41,0.46
497,109.99,0.78
498,9.19,0.38
499,64.99,0.86
500,94.32,0.95
