processes,read,generation,matching,
1,13118,1631843,9221345623,
1,12009,1258706,6692593576,
1,11940,1229429,6506520587,
1,13327,1395177,8669380624,
1,11923,1201428,6262039940,
2,14937,1756514,2160162305,
2,15107,1677827,1555860204,
2,14871,1740493,2101911878,
2,14352,1669630,1549678858,
2,14979,1667776,1530338086,
3,13950,3521609,693522825,
3,12096,3496220,704223693,
3,13280,3531111,694769295,
3,11829,1548586,673197251,
3,14061,3501699,699495548,
4,14274,3506866,382893321,
4,13885,3512608,514101689,
4,11896,7710776,387375494,
4,13519,3416277,388846238,
4,14212,7724148,383477142,
5,11833,3450092,250350292,
5,13350,7568772,251029448,
5,13726,3451728,337708560,
5,12283,7614587,250298303,
5,16975,15716624,249411096,
6,13748,7501493,172357916,
6,13641,15666756,174283955,
6,13851,3424236,172711353,
6,17901,31899101,174170894,
6,13503,31912068,171679899,
7,14338,15607730,124180774,
7,15557,15774570,125729361,
7,13375,31843378,125253683,
7,13763,15620268,124623963,
7,14959,61922856,124404774,
8,14340,31870958,98026753,
8,13852,31734360,98182092,
8,25206,31876522,99063727,
8,25160,62532255,97552959,
8,19390,31769580,99565367,
9,14803,94361326,78383914,
9,13815,31808355,78453530,
9,17481,123706671,78314428,
9,22912,124655496,78177701,
9,13721,94667881,78876093,
