thread,read,generation,matching,
1,11948,1526650,9537828751,
1,14361,1381584,13250585875,
1,11998,1374313,9957156212,
1,12012,1354292,9275671392,
1,12057,1526889,9209882902,
2,13417,1290957,6785779815,
2,21096,1914318,13205785483,
2,11969,1369841,9600943499,
2,12892,1497379,9145188145,
2,12205,1382310,6301697868,
4,12009,1258706,6692593576,
4,13118,1631843,9221345623,
4,11940,1229429,6506520587,
4,13327,1395177,8669380624,
4,11923,1201428,6262039940,
8,12066,1245512,6750208063,
8,12195,1238232,6389573506,
8,12048,1216177,6583035162,
8,11978,1238678,6555350622,
8,13252,1213707,6268993539,
16,12089,1221446,6788695961,
16,12031,1208750,6432260656,
16,13157,1214196,6609042707,
16,13379,1204097,6607497717,
16,13382,1388128,8949483254,
32,19471,1133268,6316356435,
32,13746,1116543,6303792035,
32,13480,1142542,6121444898,
32,13540,1136906,6306972904,
32,14951,1114538,6104033209,
