processes,input,traders,read,generation,matching,
1,40,1800,5875,263248,221880294,
1,40,1800,3352,269404,194249684,
1,40,1800,6763,278910,195728323,
1,40,1800,4689,273818,195836156,
1,40,1800,3706,269269,194364474,
2,80,4000,13688,1332652,244476522,
2,80,4000,19079,1367816,244875217,
2,80,4000,10379,1339288,244943102,
2,80,4000,10687,1315430,244163148,
2,80,4000,9706,1314788,244912731,
3,120,6300,14480,1396109,270791130,
3,120,6300,18548,1430133,270203302,
3,120,6300,13085,3365186,270142684,
3,120,6300,9180,3378426,272226394,
3,120,6300,9343,3361126,273925438,
4,160,8500,16730,3371684,285424201,
4,160,8500,20949,3423465,283415243,
4,160,8500,15617,3380374,286175499,
4,160,8500,11901,7666000,285363648,
4,160,8500,13703,7448365,283449396,
5,200,10800,18503,7636029,295148201,
5,200,10800,29435,3477869,294679170,
5,200,10800,18624,3466489,295402301,
5,200,10800,14885,7556456,294258534,
5,200,10800,13798,15724214,295580047,
6,240,13000,20746,15835538,288451177,
6,240,13000,17268,7596625,287814023,
6,240,13000,15269,7683963,290718537,
6,240,13000,16521,31796687,288602877,
6,240,13000,16635,31812253,291069846,
7,280,15200,26926,15796168,297663137,
7,280,15200,29935,31977462,299068381,
7,280,15200,23324,16687219,300374451,
7,280,15200,19932,15876023,299775018,
7,280,15200,19811,15705244,298380636,
8,320,17300,27132,62466020,297466880,
8,320,17300,33797,31914890,383558761,
8,320,17300,19269,31819976,239723338,
8,320,17300,28814,62066319,294826434,
8,320,17300,24467,63731756,393460283,
9,360,19500,33577,62245612,306865316,
9,360,19500,35286,124095150,319147289,
9,360,19500,23708,93830488,309273567,
9,360,19500,27782,94182783,308833226,
9,360,19500,27809,94601718,306754729,
